prompt,response,atoms,hallucinated atoms
Tell me a bio of 'Katsunosuke Hori',"I apologize, but I don't have any information on a person named Katsunosuke Hori. It is possible that this person is not well-known or that the name is misspelled. Can you please provide more context or details?","| The speaker apologizes.	False |
| The speaker does not have information.	True |
| The person in question is named Katsunosuke Hori.	True |
| This person may not be well-known.	False |
| The name may be misspelled.	False |
| It is possible.	True |
| There is a request for more information.	True |
| The speaker is asking for additional context or details.	True |
| The speaker is seeking further clarification or explanation.	True |
","| The speaker apologizes. |
| This person may not be well-known. |
| The name may be misspelled. |
"
Tell me a bio of 'Zelma Wilson',"I apologize, but I don't have any information on a person named Zelma Wilson. It's possible that she is a private individual or someone who has not gained significant public attention. Can I help you with anything else?","| The speaker is apologizing.	False |
| The speaker does not have information on a person named Zelma Wilson.	True |
| Zelma Wilson is a person.	True |
| The speaker's database does not contain information on Zelma Wilson.	True |
| She is a private individual.	False |
| She may not have gained significant public attention.	False |
| You are asking if you can help.	False |
| You are asking if you can help with something else.	False |
","| The speaker is apologizing. |
| She is a private individual. |
| She may not have gained significant public attention. |
| You are asking if you can help. |
| You are asking if you can help with something else. |
"
Tell me a bio of 'Adil Rami',"Adil Rami is a French professional footballer who plays as a centre-back for Ligue 1 club Marseille and the France national team. He is known for his aerial ability, leadership, and defensive skills.

Rami was born on December 27, 1985, in Bastia, France. He began his football career at the age of six with the local club, SC Bastia. In 2003, he joined the youth academy of Olympique de Marseille, where he quickly rose through the ranks and made his professional debut in 2006.

Rami spent four seasons with Marseille before joining Spanish club Valencia CF in 2011. He spent three seasons with Valencia, helping the team win the Copa del Rey in 2014. In 2015, he returned to France, joining Ligue 1 club Paris Saint-Germain. After two seasons with PSG, Rami joined Marseille again in 2017.

In addition to his club career, Rami has been a key player for the France national team since his debut in 2010. He has represented France at several international","| Adil Rami is a French professional footballer.	True |
| Adil Rami plays as a centre-back.	True |
| Adil Rami plays for Ligue 1 club Marseille.	True |
| Adil Rami plays for the France national team.	True |
| He is known for his aerial ability.	True |
| He is known for his leadership.	True |
| He is known for his defensive skills.	True |
| Rami was born on December 27, 1985.	True |
| Rami was born in Bastia.	False |
| Rami was born in France.	False |
| He began his football career at the age of six.	False |
| He began his football career with the local club.	True |
| The local club he started with is SC Bastia.	False |
| In 2003, he joined the youth academy of Olympique de Marseille.	False |
| Olympique de Marseille has a youth academy.	True |
| He quickly rose through the ranks.	True |
| He made his professional debut in 2006.	False |
| Rami spent four seasons with Marseille.	True |
| Rami joined Valencia CF in 2011.	True |
| Rami joined a Spanish club.	True |
| Rami joined Valencia CF.	True |
| He spent three seasons with Valencia.	False |
| He helped the team win the Copa del Rey.	False |
| The team won the Copa del Rey in 2014.	False |
| In 2015, he returned to France.	False |
| Rami played two seasons with PSG.	False |
| Rami joined Marseille in 2017.	True |
| Rami joined Marseille again in 2017.	True |
| Rami has a club career.	True |
| Rami has been a key player for the France national team.	True |
| Rami made his debut for the France national team in 2010.	False |
| He has represented France.	True |
| He has represented France at several international events.	True |
","| Rami was born in Bastia. |
| Rami was born in France. |
| He began his football career at the age of six. |
| The local club he started with is SC Bastia. |
| In 2003, he joined the youth academy of Olympique de Marseille. |
| He made his professional debut in 2006. |
| He spent three seasons with Valencia. |
| He helped the team win the Copa del Rey. |
| The team won the Copa del Rey in 2014. |
| In 2015, he returned to France. |
| Rami played two seasons with PSG. |
| Rami made his debut for the France national team in 2010. |
"
Tell me a bio of 'Richard Burkewood Welbourn',"I apologize, but I don't have any information on a person named Richard Burkewood Welbourn. It is possible that he is a private individual or not well-known public figure, or that the name is misspelled or not accurate. Can I help you with anything else?","| The speaker apologizes.	False |
| The speaker doesn't have information.	True |
| The information is about a person.	True |
| The person's name is Richard Burkewood Welbourn.	True |
| He is a private individual.	False |
| He is not a well-known public figure.	False |
| The name may be misspelled.	False |
| The name may not be accurate.	False |
| You are asking if you can help.	False |
| You are asking if you can help with something else.	False |
","| The speaker apologizes. |
| He is a private individual. |
| He is not a well-known public figure. |
| The name may be misspelled. |
| The name may not be accurate. |
| You are asking if you can help. |
| You are asking if you can help with something else. |
"
Tell me a bio of 'Miguel Díaz (baseball)',"Miguel Díaz is a professional baseball player from the Dominican Republic. He currently plays as a relief pitcher for the Los Angeles Dodgers in Major League Baseball (MLB).

Díaz was born on August 29, 1991, in Baní, Dominican Republic. He began his professional career in 2008, playing for the DSL Dodgers, a minor league affiliate of the Los Angeles Dodgers. He spent several seasons in the minor leagues, gradually working his way up the ranks, and made his MLB debut for the Dodgers in 2016.

Since then, Díaz has become a key member of the Dodgers' bullpen, known for his fastball that can reach speeds of over 100 mph. In 2018, he appeared in 73 games, posting a 2.64 ERA and striking out 85 batters in 75.2 innings. He also played a crucial role in the Dodgers' run to the World Series that year, earning a save in Game 3 against the Boston Red Sox.

Dí","| Miguel Díaz is a person.	False |
| Miguel Díaz is a professional baseball player.	True |
| Miguel Díaz is from the Dominican Republic.	True |
| He currently plays for the Los Angeles Dodgers.	False |
| He currently plays as a relief pitcher.	True |
| The Los Angeles Dodgers are a team in Major League Baseball (MLB).	False |
| Díaz was born on August 29, 1991.	False |
| Díaz was born in Baní.	True |
| Díaz was born in the Dominican Republic.	True |
| He began his professional career in 2008.	False |
| He played for the DSL Dodgers.	False |
| The DSL Dodgers is a minor league affiliate.	False |
| The DSL Dodgers is a minor league affiliate of the Los Angeles Dodgers.	False |
| He spent several seasons in the minor leagues.	True |
| He gradually worked his way up the ranks.	True |
| He made his MLB debut for the Dodgers.	False |
| He made his MLB debut in 2016.	False |
| Díaz has become a key member of the Dodgers' bullpen.	False |
| Díaz is known for his fastball.	True |
| Díaz's fastball can reach speeds of over 100 mph.	False |
| In 2018, he appeared in 73 games.	False |
| In 2018, he posted a 2.64 ERA.	False |
| In 2018, he struck out 85 batters.	False |
| In 2018, he pitched 75.2 innings.	False |
| He played a crucial role in the Dodgers' run to the World Series.	False |
| The Dodgers reached the World Series that year.	False |
| He earned a save in Game 3.	False |
| The Dodgers played against the Boston Red Sox in Game 3.	False |
","| Miguel Díaz is a person. |
| He currently plays for the Los Angeles Dodgers. |
| The Los Angeles Dodgers are a team in Major League Baseball (MLB). |
| Díaz was born on August 29, 1991. |
| He began his professional career in 2008. |
| He played for the DSL Dodgers. |
| The DSL Dodgers is a minor league affiliate. |
| The DSL Dodgers is a minor league affiliate of the Los Angeles Dodgers. |
| He made his MLB debut for the Dodgers. |
| He made his MLB debut in 2016. |
| Díaz has become a key member of the Dodgers' bullpen. |
| Díaz's fastball can reach speeds of over 100 mph. |
| In 2018, he appeared in 73 games. |
| In 2018, he posted a 2.64 ERA. |
| In 2018, he struck out 85 batters. |
| In 2018, he pitched 75.2 innings. |
| He played a crucial role in the Dodgers' run to the World Series. |
| The Dodgers reached the World Series that year. |
| He earned a save in Game 3. |
| The Dodgers played against the Boston Red Sox in Game 3. |
"
Tell me a bio of 'Teresa Palmer',"Teresa Palmer is an Australian actress, writer, and model. She was born in Adelaide, South Australia on February 26, 1986. Her breakthrough role came in the 2005 film ""2:37,"" which premiered at the Cannes Film Festival. She has since appeared in a number of films, including ""The Grudge 2,"" ""The Sorcerer's Apprentice,"" ""Take Me Home Tonight,"" ""The Ever After,"" ""Love and Honor,"" ""Point Break,"" and ""The Choice."" In addition to her film work, Palmer has also had roles in television series such as ""Bedtime Stories"" and ""A Discovery of Witches."" She has been married to actor Mark Webber since 2014 and they have two children together.

Palmer is also known for her work as a writer and producer. She has written several screenplays, including the 2014 film ""The Ever After,"" which she also starred in. She has also produced several films, including ""The Model"" and ""The Trip.""

Palmer is a vocal advocate for mental health awareness","| Teresa Palmer is Australian.	True |
| Teresa Palmer is an actress.	True |
| Teresa Palmer is a writer.	False |
| Teresa Palmer is a model.	False |
| She was born in Adelaide.	True |
| She was born in South Australia.	True |
| She was born on February 26, 1986.	True |
| Her breakthrough role came in 2:37.	False |
| 2:37 is a film.	False |
| 2:37 was released in 2005.	False |
| 2:37 premiered at the Cannes Film Festival.	True |
| She has appeared in a number of films.	True |
| She appeared in ""The Grudge 2.""	True |
| She appeared in ""The Sorcerer's Apprentice.""	True |
| She appeared in ""Take Me Home Tonight.""	True |
| She appeared in ""The Ever After.""	True |
| She appeared in ""Love and Honor.""	True |
| She appeared in ""Point Break.""	False |
| She appeared in ""The Choice."".	True |
| Palmer has film work.	True |
| Palmer has had roles in television series.	True |
| ""Bedtime Stories"" is a television series.	False |
| Palmer has had a role in ""Bedtime Stories.""	True |
| ""A Discovery of Witches"" is a television series.	True |
| Palmer has had a role in ""A Discovery of Witches."".	True |
| She has been married to Mark Webber.	True |
| Mark Webber is an actor.	True |
| They have been married since 2014.	False |
| They have two children.	True |
| They have two children together.	True |
| Palmer is known for her work as a writer.	False |
| Palmer is known for her work as a producer.	False |
| She has written several screenplays.	False |
| She wrote the screenplay for the 2014 film ""The Ever After.""	True |
| She starred in the 2014 film ""The Ever After."".	True |
| She has produced several films.	True |
| ""The Model"" is a film.	False |
| She produced ""The Model.""	False |
| ""The Trip"" is a film.	False |
| She produced ""The Trip."".	False |
| Palmer is a person.	True |
| Palmer is a vocal advocate.	True |
| Palmer is an advocate for mental health awareness.	True |
","| Teresa Palmer is a writer. |
| Teresa Palmer is a model. |
| Her breakthrough role came in 2:37. |
| 2:37 is a film. |
| 2:37 was released in 2005. |
| She appeared in ""Point Break."" |
| ""Bedtime Stories"" is a television series. |
| They have been married since 2014. |
| Palmer is known for her work as a writer. |
| Palmer is known for her work as a producer. |
| She has written several screenplays. |
| ""The Model"" is a film. |
| She produced ""The Model."" |
| ""The Trip"" is a film. |
| She produced ""The Trip."". |
"
Tell me a bio of 'Gerardo Fernandez Fe',"I apologize, but I don't have any information on a person named Gerardo Fernandez Fe. It's possible that this person is a private individual or not well-known public figure, and therefore I don't have any information on them. If you could provide more context or details about who Gerardo Fernandez Fe is, I may be able to help you better.","| The AI apologizes.	False |
| The AI does not have any information.	True |
| The person's name is Gerardo Fernandez Fe.	True |
| The person may be a private individual.	True |
| The person may not be a well-known public figure.	True |
| The assistant does not have any information on this person.	False |
| You are seeking help.	False |
| You are referring to someone named Gerardo Fernandez Fe.	True |
| You are looking for more context or details about Gerardo Fernandez Fe.	True |
| The assistant may be able to provide better help if more information is given about Gerardo Fernandez Fe.	True |
","| The AI apologizes. |
| The assistant does not have any information on this person. |
| You are seeking help. |
"
Tell me a bio of 'Augusto Martínez Sánchez',"Augusto Martínez Sánchez (194son) is a Spanish businessman and former politician who served as the President of the Government of Cantabria from 1987 to 1990. He was also a member of the Congress of Deputies for the People's Party (PP) from 1982 to 1996.

Martínez Sánchez was born in Santander, Cantabria, and studied law at the Complutense University of Madrid. He began his political career in the 1970s as a member of the PP, serving as the party's secretary-general in Cantabria. In 1983, he was elected to the regional parliament of Cantabria, and became the region's president in 1987.

During his tenure as president, Martínez Sánchez focused on promoting economic development in Cantabria, particularly in the tourism and industrial sectors. He also worked to improve the region's infrastructure, including the construction of new roads and public transportation systems.

In 1990, Martínez Sánchez resigned as president of Cantabria to run for","| Augusto Martínez Sánchez is a Spanish.	False |
| Augusto Martínez Sánchez is a businessman.	False |
| Augusto Martínez Sánchez is a former politician.	True |
| Augusto Martínez Sánchez served as the President of the Government of Cantabria.	False |
| Augusto Martínez Sánchez served as the President of the Government of Cantabria from 1987 to 1990.	False |
| He was a member of the Congress of Deputies.	False |
| He was a member of the Congress of Deputies for the People's Party (PP).	False |
| He was a member of the Congress of Deputies for the People's Party (PP) from 1982 to 1996.	False |
| Martínez Sánchez was born in Santander, Cantabria.	False |
| Martínez Sánchez studied law.	True |
| Martínez Sánchez studied law at the Complutense University of Madrid.	False |
| He began his political career in the 1970s.	False |
| He began his political career as a member of the PP.	False |
| He served as the party's secretary-general in Cantabria.	False |
| He served as the party's secretary-general in Cantabria as a member of the PP.	False |
| In 1983, he was elected.	False |
| He was elected to the regional parliament of Cantabria.	False |
| He became the region's president.	False |
| He became the region's president in 1987.	False |
| Martínez Sánchez was the president.	False |
| Martínez Sánchez focused on promoting economic development in Cantabria.	False |
| Martínez Sánchez focused on promoting economic development in the tourism sector of Cantabria.	False |
| Martínez Sánchez focused on promoting economic development in the industrial sector of Cantabria.	False |
| He worked to improve the region's infrastructure.	False |
| He worked on the construction of new roads.	False |
| He worked on the construction of public transportation systems.	False |
| In 1990, Martínez Sánchez resigned.	False |
| Martínez Sánchez was the president of Cantabria.	False |
| Martínez Sánchez resigned as president of Cantabria.	False |
| Martínez Sánchez resigned in 1990.	False |
| Martínez Sánchez resigned to run for another position.	False |
","| Augusto Martínez Sánchez is a Spanish. |
| Augusto Martínez Sánchez is a businessman. |
| Augusto Martínez Sánchez served as the President of the Government of Cantabria. |
| Augusto Martínez Sánchez served as the President of the Government of Cantabria from 1987 to 1990. |
| He was a member of the Congress of Deputies. |
| He was a member of the Congress of Deputies for the People's Party (PP). |
| He was a member of the Congress of Deputies for the People's Party (PP) from 1982 to 1996. |
| Martínez Sánchez was born in Santander, Cantabria. |
| Martínez Sánchez studied law at the Complutense University of Madrid. |
| He began his political career in the 1970s. |
| He began his political career as a member of the PP. |
| He served as the party's secretary-general in Cantabria. |
| He served as the party's secretary-general in Cantabria as a member of the PP. |
| In 1983, he was elected. |
| He was elected to the regional parliament of Cantabria. |
| He became the region's president. |
| He became the region's president in 1987. |
| Martínez Sánchez was the president. |
| Martínez Sánchez focused on promoting economic development in Cantabria. |
| Martínez Sánchez focused on promoting economic development in the tourism sector of Cantabria. |
| Martínez Sánchez focused on promoting economic development in the industrial sector of Cantabria. |
| He worked to improve the region's infrastructure. |
| He worked on the construction of new roads. |
| He worked on the construction of public transportation systems. |
| In 1990, Martínez Sánchez resigned. |
| Martínez Sánchez was the president of Cantabria. |
| Martínez Sánchez resigned as president of Cantabria. |
| Martínez Sánchez resigned in 1990. |
| Martínez Sánchez resigned to run for another position. |
"
Tell me a bio of 'Chief Jones',"I apologize, but I don't have any information on a person named ""Chief Jones."" Could you please provide more context or details?","| The speaker is apologizing.	False |
| The speaker does not have information.	True |
| The lack of information is on a person named ""Chief Jones."".	False |
| The sentence is a request for more context or details.	True |
| The request is directed at someone.	False |
| The request is asking for more information.	True |
| The request is asking for additional clarification.	True |
","| The speaker is apologizing. |
| The lack of information is on a person named ""Chief Jones."". |
| The request is directed at someone. |
"
Tell me a bio of 'Glover Teixeira',"Glover Teixeira is a Brazilian mixed martial artist who competes in the light heavyweight division of the Ultimate Fighting Championship. He has been a professional fighter since 1997 and has fought for various promotions, including the UFC, Bellator MMA, and the World Extreme Cagefighting.

Teixeira was born on October 28, 1979, in Sobradinho, Brazil. He began training in Brazilian jiu-jitsu at the age of 15 and quickly became a skilled grappler. He won several regional tournaments in Brazil before making his professional MMA debut in 1997.

Teixeira's early career was marked by a series of impressive victories, including wins over former UFC champions Chuck Liddell and Randy Couture. He signed with the UFC in 2012 and quickly established himself as a top contender in the light heavyweight division. In 2014, he challenged Jon Jones for the UFC Light Heavyweight Championship, but lost via unanimous decision.

Despite the","| Glover Teixeira is Brazilian.	True |
| Glover Teixeira is a mixed martial artist.	True |
| Glover Teixeira competes in the light heavyweight division.	True |
| Glover Teixeira competes in the Ultimate Fighting Championship.	True |
| He has been a professional fighter since 1997.	True |
| He has fought for various promotions.	True |
| He has fought for the UFC.	True |
| He has fought for Bellator MMA.	False |
| He has fought for the World Extreme Cagefighting.	False |
| Teixeira was born on October 28, 1979.	True |
| Teixeira was born in Sobradinho.	False |
| Teixeira was born in Brazil.	True |
| He began training in Brazilian jiu-jitsu.	True |
| He began training in Brazilian jiu-jitsu at the age of 15.	True |
| He quickly became a skilled grappler.	True |
| He won several regional tournaments in Brazil.	True |
| He made his professional MMA debut in 1997.	False |
| Teixeira's early career was marked by impressive victories.	True |
| Teixeira had wins over former UFC champions Chuck Liddell.	False |
| Teixeira had wins over former UFC champions Randy Couture.	False |
| He signed with the UFC in 2012.	True |
| He quickly established himself as a top contender.	True |
| He quickly established himself as a top contender in the light heavyweight division.	True |
| It was in 2014.	True |
| He challenged Jon Jones.	True |
| He challenged Jon Jones for the UFC Light Heavyweight Championship.	True |
| He lost.	True |
| He lost via unanimous decision.	True |
","| He has fought for Bellator MMA. |
| He has fought for the World Extreme Cagefighting. |
| Teixeira was born in Sobradinho. |
| He made his professional MMA debut in 1997. |
| Teixeira had wins over former UFC champions Chuck Liddell. |
| Teixeira had wins over former UFC champions Randy Couture. |
"
Tell me a bio of 'George Cukor',"George Cukor (1899-1983) was a Hungarian-born American film director and producer. He is best known for his work on the classic Hollywood films ""The Philadelphia Story"" (1940), ""Gaslight"" (1944), and ""My Fair Lady"" (1964).

Cukor began his career in the film industry as a stage director, working in New York City. He made his film debut in 1930 with the movie ""The Virtuous Sin,"" and went on to direct a number of successful films throughout the 1930s and 1940s, including ""Dinner at Eight"" (1933), ""Little Women"" (1933), and ""David Copperfield"" (1948).

Cukor was known for his meticulous attention to detail, and for his ability to coax strong performances from his actors. He was also known for his close relationships with many of his leading ladies, including Katharine Hepburn, Ingrid Bergman, and Audrey Hepburn.

Cukor continued to direct films until his","| George Cukor was born in 1899.	True |
| George Cukor was Hungarian-born.	True |
| George Cukor was an American.	True |
| George Cukor was a film director.	True |
| George Cukor was a producer.	False |
| He is best known for his work on classic Hollywood films.	True |
| One of the classic Hollywood films he worked on is ""The Philadelphia Story.""	True |
| ""The Philadelphia Story"" was released in 1940.	True |
| One of the classic Hollywood films he worked on is ""Gaslight.""	True |
| ""Gaslight"" was released in 1944.	True |
| One of the classic Hollywood films he worked on is ""My Fair Lady.""	True |
| ""My Fair Lady"" was released in 1964.	True |
| Cukor began his career.	True |
| Cukor began his career in the film industry.	True |
| Cukor began his career as a stage director.	True |
| Cukor worked in New York City.	True |
| Cukor worked as a stage director in New York City.	True |
| He made his film debut in 1930.	False |
| His film debut was with the movie ""The Virtuous Sin.""	False |
| He made his film debut with the movie ""The Virtuous Sin"" in 1930.	False |
| He went on to direct a number of successful films.	True |
| The successful films were directed throughout the 1930s and 1940s.	True |
| The successful films included ""Dinner at Eight"" (1933).	True |
| The successful films included ""Little Women"" (1933).	True |
| The successful films included ""David Copperfield"" (1948).	False |
| Cukor was known for his meticulous attention to detail.	True |
| Cukor was known for his ability to coax strong performances from his actors.	True |
| He was known for his close relationships.	True |
| He had close relationships with many of his leading ladies.	True |
| Katharine Hepburn is one of his leading ladies.	True |
| He had a close relationship with Katharine Hepburn.	True |
| Ingrid Bergman is one of his leading ladies.	True |
| He had a close relationship with Ingrid Bergman.	False |
| Audrey Hepburn is one of his leading ladies.	True |
| He had a close relationship with Audrey Hepburn.	False |
","| George Cukor was a producer. |
| He made his film debut in 1930. |
| His film debut was with the movie ""The Virtuous Sin."" |
| He made his film debut with the movie ""The Virtuous Sin"" in 1930. |
| The successful films included ""David Copperfield"" (1948). |
| He had a close relationship with Ingrid Bergman. |
| He had a close relationship with Audrey Hepburn. |
"
Tell me a bio of 'Chaim Malinowitz',"I apologize, but I cannot provide a bio of Chaim Malinowitz as I cannot verify his identity or existence. Additionally, it is not appropriate to share personal information about individuals without their consent. It is important to respect people's privacy and only share information that is publicly available and accurate. If you have any other questions, I would be happy to try and assist you.","| I apologize.	False |
| I cannot provide a bio of Chaim Malinowitz.	False |
| I cannot verify his identity.	False |
| I cannot verify his existence.	False |
| It is not appropriate.	False |
| It is not appropriate to share personal information.	False |
| It is not appropriate to share personal information about individuals.	True |
| It is not appropriate to share personal information about individuals without their consent.	True |
| It is important to respect people's privacy.	True |
| It is important to only share information that is publicly available.	True |
| It is important to only share information that is accurate.	True |
| I am willing to assist you.	False |
| I am willing to try to assist you.	False |
| I would be happy to try to assist you.	True |
| I would be happy to try and assist you.	True |
| If you have any other questions, I would be happy to try and assist you.	True |
","| I apologize. |
| I cannot provide a bio of Chaim Malinowitz. |
| I cannot verify his identity. |
| I cannot verify his existence. |
| It is not appropriate. |
| It is not appropriate to share personal information. |
| I am willing to assist you. |
| I am willing to try to assist you. |
"
Tell me a bio of 'Marie Alexandrine Becker',"I apologize, but I couldn't find any information on a person named ""Marie Alexandrine Becker."" It's possible that she is a private individual and not a public figure, or she may not have enough online presence to be easily searchable. If you provide me with more context or details about her, I may be able to help you better.","| The information could not be found.	False |
| The person's name is ""Marie Alexandrine Becker.""	True |
| The search did not yield any information on Marie Alexandrine Becker.	False |
| She may be a private individual.	False |
| She may not be a public figure.	False |
| She may not have enough online presence.	True |
| She may not be easily searchable online.	False |
| You are asking for more context or details.	True |
| You are referring to a female individual.	True |
| You are offering to provide better help.	False |
","| The information could not be found. |
| The search did not yield any information on Marie Alexandrine Becker. |
| She may be a private individual. |
| She may not be a public figure. |
| She may not be easily searchable online. |
| You are offering to provide better help. |
"
Tell me a bio of 'Lauren London',"Lauren London is an American actress, model, and television personality. She was born on December 5, 1984, in Los Angeles, California, USA. Her real name is Lauren Nicole London. She is best known for her roles in the films ""ATL"" (2006) and ""The Game Plan"" (2007).

London began her career in the entertainment industry as a model, appearing in various print ads and music videos. She made her acting debut in the 2006 film ""ATL,"" which was directed by Chris Robinson. Her breakout role came in 2007 when she starred alongside Dwayne ""The Rock"" Johnson in the comedy film ""The Game Plan."" She has since appeared in films such as ""I Love You, Beth Cooper"" (2009), ""Next Day Air"" (2009), and ""The Players Club"" (2010).

In addition to her film career, London has also appeared on several television shows, including ""Entourage,"" ""CSI: NY,"" and ""90210."" She has also been a spokesperson for","| Lauren London is an American.	True |
| Lauren London is an actress.	True |
| Lauren London is a model.	False |
| Lauren London is a television personality.	False |
| She was born on December 5, 1984.	True |
| She was born in Los Angeles.	True |
| She was born in California.	True |
| She was born in the USA.	True |
| Her real name is Lauren London.	True |
| Her real name is Lauren Nicole London.	True |
| She is best known for her roles in films.	True |
| One of her best known roles is in ATL.	True |
| ATL is a film.	True |
| ATL was released in 2006.	True |
| One of her best known roles is in The Game Plan.	False |
| The Game Plan is a film.	False |
| The Game Plan was released in 2007.	False |
| London began her career in the entertainment industry.	True |
| London began her career as a model.	False |
| London appeared in various print ads.	True |
| London appeared in music videos.	True |
| She made her acting debut.	True |
| Her acting debut was in the film ""ATL.""	True |
| The film ""ATL"" was directed by Chris Robinson.	True |
| The film ""ATL"" was released in 2006.	True |
| Her breakout role came in 2007.	False |
| She starred in The Game Plan.	False |
| The Game Plan is a comedy film.	False |
| Dwayne ""The Rock"" Johnson was in The Game Plan.	False |
| She starred alongside Dwayne ""The Rock"" Johnson in The Game Plan.	False |
| She has appeared in films.	True |
| She appeared in ""I Love You, Beth Cooper"" in 2009.	True |
| She appeared in ""Next Day Air"" in 2009.	True |
| She appeared in ""The Players Club"" in 2010.	False |
| London has a film career.	True |
| London has appeared on television shows.	True |
| London has appeared on ""Entourage.""	True |
| London has appeared on ""CSI: NY.""	True |
| London has appeared on ""90210."".	True |
","| Lauren London is a model. |
| Lauren London is a television personality. |
| One of her best known roles is in The Game Plan. |
| The Game Plan is a film. |
| The Game Plan was released in 2007. |
| London began her career as a model. |
| Her breakout role came in 2007. |
| She starred in The Game Plan. |
| The Game Plan is a comedy film. |
| Dwayne ""The Rock"" Johnson was in The Game Plan. |
| She starred alongside Dwayne ""The Rock"" Johnson in The Game Plan. |
| She appeared in ""The Players Club"" in 2010. |
"
Tell me a bio of 'Harrison Ford',"Harrison Ford is an American actor and film producer. He is best known for his roles in the Star Wars and Indiana Jones film franchises.

Ford was born on July 13, 1942, in Chicago, Illinois. He is the son of Christopher Ford, an advertising executive, and Dorothy Ford, a former radio actress. Ford attended Maine East High School in Park Ridge, Illinois, where he was a member of the school's drama club.

After high school, Ford attended Ripon College in Wisconsin, where he majored in philosophy. He later transferred to the University of California, Los Angeles (UCLA), where he studied drama.

Ford's breakthrough role came in 1973 when he played the part of Han Solo in the science fiction film ""Star Wars."" The film was a huge success and launched Ford's career as a leading man. He went on to reprise the role of Han Solo in two more Star Wars films: ""The Empire Strikes Back"" (1980) and ""Return of the Jedi"" (1983).

In addition to his work in the Star Wars franchise, Ford has appeared in","| Harrison Ford is an American.	True |
| Harrison Ford is an actor.	True |
| Harrison Ford is a film producer.	False |
| He is known for his roles in the Star Wars film franchise.	True |
| He is known for his roles in the Indiana Jones film franchise.	True |
| Ford was born on July 13, 1942.	True |
| Ford was born in Chicago.	True |
| Ford was born in Illinois.	True |
| He is the son of Christopher Ford.	True |
| Christopher Ford is an advertising executive.	True |
| He is the son of Dorothy Ford.	True |
| Dorothy Ford is a former radio actress.	True |
| Ford attended Maine East High School.	True |
| Maine East High School is located in Park Ridge, Illinois.	True |
| He was a member of the school's drama club.	True |
| He was a member of the drama club at Maine East High School.	True |
| After high school, Ford attended Ripon College.	True |
| Ripon College is located in Wisconsin.	True |
| Ford majored in philosophy.	True |
| Ford majored in philosophy at Ripon College in Wisconsin.	True |
| He transferred.	False |
| He transferred to the University of California, Los Angeles (UCLA).	True |
| He studied drama at UCLA.	False |
| Ford's breakthrough role came in 1973.	False |
| Ford played the part of Han Solo.	True |
| The science fiction film is ""Star Wars.""	True |
| The science fiction film ""Star Wars"" was released in 1973.	False |
| The film was a huge success.	True |
| The film launched Ford's career as a leading man.	True |
| He reprised the role of Han Solo.	True |
| He reprised the role of Han Solo in two more Star Wars films.	True |
| ""The Empire Strikes Back"" is a Star Wars film.	True |
| ""The Empire Strikes Back"" was released in 1980.	True |
| ""Return of the Jedi"" is a Star Wars film.	True |
| ""Return of the Jedi"" was released in 1983.	True |
","| Harrison Ford is a film producer. |
| He transferred. |
| He studied drama at UCLA. |
| Ford's breakthrough role came in 1973. |
| The science fiction film ""Star Wars"" was released in 1973. |
"
